Company,WAPE (price),WAPE (return)
Agricultural Bank of China,100.9300037,101.5652846
Anhui Coonch Cement,99.96577813,100.6025226
China Duty Free Group,100.6498368,100.1948327
China Life Insurance Company Limited,104.2777526,100.4767845
China Merchants Bank,99.93457937,101.1960229
China Pacific Insurance,103.0672612,102.340719
China Shenhua,102.47218,101.0617722
CITIC Securities,99.82737217,100.6132289
Hengrui Medicine,100.3654553,101.5393874
Kweichow Moutai,100.047292,99.47678352
PetroChina,193.5576228,102.2920878
Ping An,102.8372108,102.5087939
SAIC Motor,100.0329294,101.6823119
Sinopec,101.7097941,99.48213101
Wanhua Chemical Group,100.1552671,100.2617135